# This file shows results of an evaluation of saliencymaps as described in
# R. Achanta, S. Hemami, F. Estrada and S. Süsstrunk, Frequency-tuned Salient Region Detection, IEEE International Conference on Computer Vision and Pattern Recognition (CVPR), 2009.
#
# threshold mean_precision mean_recall
0 0.1989 1.000 
1 0.1990 1.000 
2 0.1990 1.000 
3 0.1990 1.000 
4 0.1990 1.000 
5 0.1990 1.000 
6 0.1990 1.000 
7 0.1990 1.000 
8 0.1990 1.000 
9 0.1990 1.000 
10 0.1990 1.000 
11 0.1990 1.000 
12 0.1990 1.000 
13 0.1990 1.000 
14 0.1995 1.000 
15 0.1995 1.000 
16 0.1995 1.000 
17 0.1995 1.000 
18 0.1995 1.000 
19 0.1995 1.000 
20 0.1995 1.000 
21 0.1995 1.000 
22 0.1995 1.000 
23 0.2010 0.9999 
24 0.2010 0.9999 
25 0.2010 0.9999 
26 0.2010 0.9999 
27 0.2010 0.9999 
28 0.2010 0.9999 
29 0.2039 0.9996 
30 0.2039 0.9996 
31 0.2039 0.9996 
32 0.2039 0.9996 
33 0.2039 0.9996 
34 0.2039 0.9996 
35 0.2078 0.9989 
36 0.2078 0.9989 
37 0.2078 0.9989 
38 0.2078 0.9989 
39 0.2124 0.9976 
40 0.2124 0.9976 
41 0.2124 0.9976 
42 0.2124 0.9976 
43 0.2176 0.9955 
44 0.2176 0.9955 
45 0.2176 0.9955 
46 0.2176 0.9955 
47 0.2232 0.9923 
48 0.2232 0.9923 
49 0.2232 0.9923 
50 0.2232 0.9923 
51 0.2290 0.9880 
52 0.2290 0.9880 
53 0.2290 0.9880 
54 0.2352 0.9829 
55 0.2352 0.9829 
56 0.2352 0.9829 
57 0.2415 0.9766 
58 0.2415 0.9766 
59 0.2415 0.9766 
60 0.2480 0.9695 
61 0.2480 0.9695 
62 0.2544 0.9612 
63 0.2544 0.9612 
64 0.2544 0.9612 
65 0.2607 0.9520 
66 0.2607 0.9520 
67 0.2669 0.9415 
68 0.2669 0.9415 
69 0.2669 0.9415 
70 0.2729 0.9295 
71 0.2729 0.9295 
72 0.2788 0.9169 
73 0.2788 0.9169 
74 0.2846 0.9036 
75 0.2846 0.9036 
76 0.2901 0.8895 
77 0.2901 0.8895 
78 0.2951 0.8742 
79 0.2951 0.8742 
80 0.2996 0.8577 
81 0.2996 0.8577 
82 0.3036 0.8406 
83 0.3036 0.8406 
84 0.3073 0.8230 
85 0.3073 0.8230 
86 0.3106 0.8050 
87 0.3135 0.7866 
88 0.3135 0.7866 
89 0.3160 0.7680 
90 0.3160 0.7680 
91 0.3182 0.7494 
92 0.3182 0.7494 
93 0.3200 0.7305 
94 0.3213 0.7114 
95 0.3213 0.7114 
96 0.3222 0.6922 
97 0.3226 0.6727 
