# This file shows results of an evaluation of saliencymaps as described in
# R. Achanta, S. Hemami, F. Estrada and S. Süsstrunk, Frequency-tuned Salient Region Detection, IEEE International Conference on Computer Vision and Pattern Recognition (CVPR), 2009.
#
# threshold mean_precision mean_recall
0 0.1989 1.000 
1 0.1989 1.000 
2 0.1989 1.000 
3 0.1989 1.000 
4 0.1989 1.000 
5 0.1989 1.000 
6 0.1989 1.000 
7 0.1989 1.000 
8 0.1989 1.000 
9 0.1989 1.000 
10 0.1989 1.000 
11 0.1989 1.000 
12 0.1989 1.000 
13 0.1989 1.000 
14 0.1991 1.000 
15 0.1991 1.000 
16 0.1991 1.000 
17 0.1991 1.000 
18 0.1991 1.000 
19 0.1991 1.000 
20 0.1991 1.000 
21 0.1991 1.000 
22 0.1991 1.000 
23 0.1995 1.000 
24 0.1995 1.000 
25 0.1995 1.000 
26 0.1995 1.000 
27 0.1995 1.000 
28 0.1995 1.000 
29 0.2001 1.000 
30 0.2001 1.000 
31 0.2001 1.000 
32 0.2001 1.000 
33 0.2001 1.000 
34 0.2001 1.000 
35 0.2008 1.000 
36 0.2008 1.000 
37 0.2008 1.000 
38 0.2008 1.000 
39 0.2016 1.000 
40 0.2016 1.000 
41 0.2016 1.000 
42 0.2016 1.000 
43 0.2027 1.000 
44 0.2027 1.000 
45 0.2027 1.000 
46 0.2027 1.000 
47 0.2038 1.000 
48 0.2038 1.000 
49 0.2038 1.000 
50 0.2038 1.000 
51 0.2051 1.000 
52 0.2051 1.000 
53 0.2051 1.000 
54 0.2065 0.9999 
55 0.2065 0.9999 
56 0.2065 0.9999 
57 0.2080 0.9999 
58 0.2080 0.9999 
59 0.2080 0.9999 
60 0.2097 0.9999 
61 0.2097 0.9999 
62 0.2114 0.9999 
63 0.2114 0.9999 
64 0.2114 0.9999 
65 0.2133 0.9998 
66 0.2133 0.9998 
67 0.2154 0.9998 
68 0.2154 0.9998 
69 0.2154 0.9998 
70 0.2175 0.9997 
71 0.2175 0.9997 
72 0.2197 0.9996 
73 0.2197 0.9996 
74 0.2220 0.9995 
75 0.2220 0.9995 
76 0.2244 0.9993 
77 0.2244 0.9993 
78 0.2269 0.9992 
79 0.2269 0.9992 
80 0.2294 0.9990 
81 0.2294 0.9990 
82 0.2321 0.9988 
83 0.2321 0.9988 
84 0.2349 0.9985 
85 0.2349 0.9985 
86 0.2378 0.9983 
87 0.2409 0.9980 
88 0.2409 0.9980 
89 0.2441 0.9976 
90 0.2441 0.9976 
91 0.2474 0.9972 
92 0.2474 0.9972 
93 0.2507 0.9968 
94 0.2542 0.9963 
95 0.2542 0.9963 
96 0.2577 0.9958 
97 0.2614 0.9952 
98 0.2614 0.9952 
99 0.2652 0.9945 
100 0.2691 0.9938 
101 0.2691 0.9938 
102 0.2730 0.9930 
103 0.2771 0.9921 
104 0.2771 0.9921 
105 0.2813 0.9911 
106 0.2857 0.9901 
107 0.2900 0.9890 
108 0.2900 0.9890 
109 0.2946 0.9879 
110 0.2993 0.9866 
111 0.3040 0.9854 
112 0.3040 0.9854 
113 0.3089 0.9839 
114 0.3139 0.9825 
115 0.3189 0.9809 
116 0.3240 0.9793 
117 0.3240 0.9793 
118 0.3292 0.9777 
119 0.3346 0.9760 
120 0.3400 0.9742 
121 0.3455 0.9724 
122 0.3511 0.9706 
123 0.3569 0.9686 
124 0.3569 0.9686 
125 0.3627 0.9666 
126 0.3686 0.9646 
127 0.3747 0.9624 
128 0.3808 0.9603 
129 0.3870 0.9580 
130 0.3932 0.9557 
131 0.3996 0.9533 
132 0.4061 0.9508 
133 0.4126 0.9482 
134 0.4191 0.9456 
135 0.4257 0.9429 
136 0.4324 0.9400 
137 0.4391 0.9371 
138 0.4459 0.9341 
139 0.4526 0.9309 
140 0.4594 0.9277 
141 0.4661 0.9244 
